Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_154,VSS,Metal1,81.3660,98.7400,0.000167
FILLER_22_148,VSS,Metal1,77.0400,98.2800,0.000288
FILLER_22_144,VSS,Metal1,75.8280,98.6560,0.000290
FILLER_22_125,VSS,Metal1,66.2400,98.2800,0.000298
FILLER_22_118,VSS,Metal1,64.0860,98.7400,0.000297
FILLER_22_111,VSS,Metal1,60.7260,98.7400,0.000297
FILLER_22_105,VSS,Metal1,56.4000,98.2800,0.000285
FILLER_22_100,VSS,Metal1,54.2400,98.2800,0.000285
FILLER_22_94,VSS,Metal1,51.1200,98.2800,0.000223
FILLER_22_92,VSS,Metal1,50.4000,98.2800,0.000223
FILLER_22_85,VSS,Metal1,48.2460,98.7400,0.000216
FILLER_22_78,VSS,Metal1,44.8860,98.7400,0.000209
FILLER_22_71,VSS,Metal1,40.0800,98.2800,0.000175
FILLER_22_64,VSS,Metal1,38.1660,98.7400,0.000173
FILLER_22_57,VSS,Metal1,34.8060,98.7400,0.000116
FILLER_22_50,VSS,Metal1,31.4460,98.7400,0.000091
FILLER_22_43,VSS,Metal1,28.0860,98.7400,0.000068
FILLER_22_36,VSS,Metal1,24.7260,98.7400,0.000068
FILLER_22_29,VSS,Metal1,21.3660,98.7400,0.000068
FILLER_22_16,VSS,Metal1,14.3880,98.6560,0.000097
FILLER_22_7,VSS,Metal1,10.0680,98.6560,0.000119
FILLER_22_0,VSS,Metal1,7.4460,98.7400,0.000119
FILLER_21_209,VSS,Metal1,106.3200,98.2800,0.000457
FILLER_21_198,VSS,Metal1,101.7480,97.9030,0.000067
FILLER_21_191,VSS,Metal1,99.1260,97.8190,0.000167
FILLER_21_184,VSS,Metal1,95.7660,97.8190,0.000167
FILLER_21_177,VSS,Metal1,92.4060,97.8190,0.000167
FILLER_21_170,VSS,Metal1,89.0460,97.8190,0.000167
FILLER_21_163,VSS,Metal1,85.6860,97.8190,0.000167
FILLER_21_157,VSS,Metal1,81.6000,98.2800,0.000167
FILLER_21_120,VSS,Metal1,64.3080,97.9030,0.000297
FILLER_21_113,VSS,Metal1,61.6860,97.8190,0.000297
FILLER_21_106,VSS,Metal1,58.3260,97.8190,0.000297
FILLER_21_99,VSS,Metal1,54.9660,97.8190,0.000285
FILLER_21_92,VSS,Metal1,51.6060,97.8190,0.000223
FILLER_21_85,VSS,Metal1,48.2460,97.8190,0.000216
FILLER_21_78,VSS,Metal1,44.8860,97.8190,0.000209
FILLER_21_57,VSS,Metal1,33.6000,98.2800,0.000116
FILLER_21_41,VSS,Metal1,26.3880,97.9030,0.000068
FILLER_21_34,VSS,Metal1,23.7660,97.8190,0.000068
FILLER_21_24,VSS,Metal1,17.7600,98.2800,0.000097
FILLER_21_11,VSS,Metal1,11.2800,98.2800,0.000104
FILLER_21_4,VSS,Metal1,9.3660,97.8190,0.000119
FILLER_20_236,VSS,Metal1,119.5200,90.7200,0.001059
FILLER_20_150,VSS,Metal1,78.2400,90.7200,0.000205
FILLER_20_146,VSS,Metal1,76.7880,91.0960,0.000223
FILLER_20_139,VSS,Metal1,74.1660,91.1800,0.000234
