Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_23_66,VDD,Metal1,38.4110,102.6560,1.199464
FILLER_23_59,VDD,Metal1,35.7690,102.6580,1.199469
FILLER_23_52,VDD,Metal1,32.4090,102.6580,1.199483
FILLER_23_45,VDD,Metal1,29.0490,102.6580,1.199496
FILLER_23_32,VDD,Metal1,21.3600,102.0600,1.199894
FILLER_23_25,VDD,Metal1,19.4490,102.6580,1.199965
FILLER_22_205,VDD,Metal1,104.4000,102.0600,1.199590
FILLER_22_203,VDD,Metal1,103.6800,102.0600,1.199590
FILLER_22_193,VDD,Metal1,98.6400,102.0600,1.199686
FILLER_22_189,VDD,Metal1,97.4510,101.4630,1.199873
FILLER_22_182,VDD,Metal1,94.8090,101.4610,1.199903
FILLER_22_175,VDD,Metal1,91.4490,101.4610,1.199869
FILLER_22_168,VDD,Metal1,88.0890,101.4610,1.199869
FILLER_22_161,VDD,Metal1,84.7290,101.4610,1.199389
FILLER_22_154,VDD,Metal1,81.3690,101.4610,1.199385
FILLER_22_148,VDD,Metal1,77.0400,102.0600,1.199367
FILLER_22_144,VDD,Metal1,75.8510,101.4630,1.199367
FILLER_22_125,VDD,Metal1,66.2400,102.0600,1.199348
FILLER_22_118,VDD,Metal1,64.0890,101.4610,1.199338
FILLER_22_111,VDD,Metal1,60.7290,101.4610,1.199318
FILLER_22_105,VDD,Metal1,56.4000,102.0600,1.199319
FILLER_22_100,VDD,Metal1,54.2400,102.0600,1.199319
FILLER_22_94,VDD,Metal1,51.1200,102.0600,1.199428
FILLER_22_92,VDD,Metal1,50.4000,102.0600,1.199430
FILLER_22_85,VDD,Metal1,48.2490,101.4610,1.199430
FILLER_22_78,VDD,Metal1,44.8890,101.4610,1.199431
FILLER_22_71,VDD,Metal1,40.0800,102.0600,1.199459
FILLER_22_64,VDD,Metal1,38.1690,101.4610,1.199464
FILLER_22_57,VDD,Metal1,34.8090,101.4610,1.199478
FILLER_22_50,VDD,Metal1,31.4490,101.4610,1.199491
FILLER_22_43,VDD,Metal1,28.0890,101.4610,1.199505
FILLER_22_36,VDD,Metal1,24.7290,101.4610,1.199887
FILLER_22_29,VDD,Metal1,21.3690,101.4610,1.199894
FILLER_22_16,VDD,Metal1,14.4110,101.4630,1.199964
FILLER_22_7,VDD,Metal1,10.0910,101.4630,1.199955
FILLER_22_0,VDD,Metal1,7.4490,101.4610,1.199949
FILLER_21_209,VDD,Metal1,106.3200,94.5000,1.199447
FILLER_21_198,VDD,Metal1,101.7710,95.0960,1.199906
FILLER_21_191,VDD,Metal1,99.1290,95.0980,1.199906
FILLER_21_184,VDD,Metal1,95.7690,95.0980,1.199903
FILLER_21_177,VDD,Metal1,92.4090,95.0980,1.199885
FILLER_21_170,VDD,Metal1,89.0490,95.0980,1.199881
FILLER_21_163,VDD,Metal1,85.6890,95.0980,1.197085
FILLER_21_157,VDD,Metal1,81.6000,94.5000,1.197068
FILLER_21_120,VDD,Metal1,64.3310,95.0960,1.196980
FILLER_21_113,VDD,Metal1,61.6890,95.0980,1.196984
FILLER_21_106,VDD,Metal1,58.3290,95.0980,1.196988
FILLER_21_99,VDD,Metal1,54.9690,95.0980,1.196993
FILLER_21_92,VDD,Metal1,51.6090,95.0980,1.196998
FILLER_21_85,VDD,Metal1,48.2490,95.0980,1.197031
FILLER_21_78,VDD,Metal1,44.8890,95.0980,1.198358
FILLER_21_57,VDD,Metal1,33.6000,94.5000,1.198897
FILLER_21_41,VDD,Metal1,26.4110,95.0960,1.198897
FILLER_21_34,VDD,Metal1,23.7690,95.0980,1.199005
FILLER_21_24,VDD,Metal1,17.7600,94.5000,1.199926
FILLER_21_11,VDD,Metal1,11.2800,94.5000,1.199919
FILLER_21_4,VDD,Metal1,9.3690,95.0980,1.199918
FILLER_20_236,VDD,Metal1,119.5200,94.5000,1.199276
FILLER_20_150,VDD,Metal1,78.2400,94.5000,1.197032
FILLER_20_146,VDD,Metal1,76.8110,93.9030,1.197025
