net,length_um
_0334_,7.45µm
_0421_,7.33µm
net125,7.32µm
_0019_,7.27µm
_0099_,7.26µm
_0113_,7.26µm
_0323_,7.26µm
_0436_,7.26µm
_0166_,7.21µm
_0184_,7.21µm
_0082_,7.2µm
_0245_,7.2µm
_0337_,7.2µm
acc20[8],7.2µm
_0001_,7.15µm
_0103_,7.15µm
_0384_,7.135µm
_0318_,7.08µm
_0260_,7.075µm
_0375_,7.06µm
_0387_,7.06µm
_0211_,7.04µm
_0022_,7.03µm
_0368_,6.985µm
_0035_,6.97µm
_0068_,6.97µm
_0402_,6.965µm
_0093_,6.91µm
_0476_,6.91µm
_0087_,6.89µm
_0404_,6.875µm
_0356_,6.86µm
_0461_,6.86µm
_0226_,6.78µm
w_int8[7],6.78µm
_0203_,6.73µm
_0490_,6.73µm
acc20[10],6.73µm
_0156_,6.62µm
_0140_,6.6µm
_0248_,6.6µm
_0200_,6.56µm
_0132_,6.515µm
_0257_,6.5µm
_0264_,6.5µm
_0364_,6.49µm
net1,6.48µm
_0280_,6.42µm
_0096_,6.39µm
_0190_,6.37µm
net119,6.36µm
w_int8[3],6.31µm
_0183_,6.3µm
_0277_,6.3µm
_0471_,6.19µm
_0491_,6.19µm
net131,6.19µm
_0123_,6.18µm
_0217_,6.12µm
_0055_,6.115µm
_0493_,6.115µm
_0455_,6.06µm
_0083_,6.01µm
_0408_,6.01µm
_0275_,6µm
_0305_,5.935µm
_0314_,5.91µm
_0388_,5.88µm
_0131_,5.865µm
_0485_,5.865µm
_0091_,5.82µm
net133,5.82µm
_0125_,5.77µm
_0185_,5.77µm
_0274_,5.77µm
_0466_,5.77µm
_0462_,5.71µm
net129,5.71µm
_0273_,5.7µm
_0095_,5.66µm
_0225_,5.64µm
_0414_,5.64µm
_0062_,5.635µm
_0472_,5.635µm
_0104_,5.58µm
_0308_,5.58µm
_0028_,5.53µm
_0030_,5.53µm
_0358_,5.52µm
_0098_,5.4µm
net107,5.35µm
_0434_,5.34µm
_0160_,5.29µm
_0483_,5.29µm
_0090_,5.28µm
_0344_,5.28µm
_0453_,5.28µm
_0009_,5.23µm
_0023_,5.16µm
_0198_,5.16µm
_0249_,5.16µm
_0333_,5.05µm
_0254_,4.99µm
net113,4.98µm
net117,4.98µm
_0076_,4.92µm
_0240_,4.92µm
_0038_,4.86µm
_0102_,4.86µm
_0467_,4.86µm
net111,4.86µm
_0369_,4.81µm
_0290_,4.8µm
_0039_,4.68µm
_0406_,4.68µm
_0428_,4.68µm
_0033_,4.665µm
_0003_,4.58µm
_0007_,4.57µm
_0194_,4.56µm
_0042_,4.5µm
_0285_,4.44µm
_0383_,4.44µm
_0002_,4.38µm
_0119_,4.38µm
_0210_,4.38µm
_0270_,4.38µm
net138,4.38µm
_0126_,4.26µm
net102,4.205µm
_0011_,4.2µm
net104,4.1µm
_0328_,4.09µm
_0451_,4.02µm
_0027_,3.96µm
_0110_,3.96µm
_0143_,3.96µm
net101,3.9µm
_0004_,3.78µm
_0293_,3.775µm
_0037_,3.655µm
_0398_,3.645µm
_0015_,3.62µm
_0193_,3.62µm
_0235_,3.62µm
_0040_,3.61µm
_0271_,3.61µm
_0367_,3.61µm
_0382_,3.6µm
net103,3.54µm
_0488_,3.48µm
net128,3.48µm
_0231_,3.42µm
_0411_,3.42µm
_0426_,3.42µm
_0397_,3.36µm
_0218_,3.295µm
_0306_,3.24µm
