2026-02-08 21:26:31 +0000: Memory Usage (432684K) : dfpad_pillar has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432684K) : dfpad_sbump has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432812K) : thickgateox_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432812K) : pldb_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432940K) : pwell_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (432940K) : pwell_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433068K) : pwell_block has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433068K) : ic_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433196K) : via3_drw has 379 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433196K) : metal4_drw has 92 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433324K) : metal4_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433324K) : metal4_mask has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433452K) : metal4_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433452K) : metal4_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433580K) : metal4_slit has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433708K) : metal4_text has 1 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433708K) : metal4_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433836K) : metal4_noqrc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433836K) : metal4_res has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433964K) : metal4_iprobe has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (433964K) : metal4_diffprb has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434092K) : heattrans_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434092K) : heatres_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434220K) : pempoly_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434220K) : fbe_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434348K) : empoly_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434348K) : ldmos_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434476K) : pbiwind_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434476K) : digisub_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434604K) : nodrc_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434604K) : text_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434732K) : via4_drw has 320 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434732K) : metal5_drw has 64 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434860K) : metal5_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434860K) : metal5_mask has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434988K) : metal5_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (434988K) : metal5_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435116K) : metal5_slit has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435116K) : metal5_text has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435244K) : metal5_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435244K) : metal5_noqrc has 0 polygons
